target_uid,name,mandate_start,mandate_end,sycomore_fid,source_url,retrieved
PA717161,Élisabeth Borne,2024-07-08,2025-01-23,19586,https://www2.assemblee-nationale.fr/sycomore/fiche/19586,2026-09-13
PA717161,Élisabeth Borne,2025-11-13,,19586,https://www2.assemblee-nationale.fr/sycomore/fiche/19586,2026-09-13
PA717379,Sylvain Maillard,2024-07-08,,19261,https://www2.assemblee-nationale.fr/sycomore/fiche/19261,2026-09-13
PA718674,Olga Givernet,2024-07-08,2024-10-21,19172,https://www2.assemblee-nationale.fr/sycomore/fiche/19172,2026-09-13
PA718674,Olga Givernet,2025-01-24,,19172,https://www2.assemblee-nationale.fr/sycomore/fiche/19172,2026-09-13
PA718784,Éric Pauget,2024-07-08,,19317,https://www2.assemblee-nationale.fr/sycomore/fiche/19317,2026-09-13
PA718820,Pauline Cestrières,2026-04-27,,20072,https://www2.assemblee-nationale.fr/sycomore/fiche/20072,2026-09-13
PA718838,Fabrice Brun,2024-07-08,,19065,https://www2.assemblee-nationale.fr/sycomore/fiche/19065,2026-09-13
PA718850,Pierre Cordier,2024-07-08,,19100,https://www2.assemblee-nationale.fr/sycomore/fiche/19100,2026-09-13
PA718884,Valérie Bazin-Malgras,2024-07-08,,19030,https://www2.assemblee-nationale.fr/sycomore/fiche/19030,2026-09-13
PA719024,Christophe Blanchet,2024-07-08,,19044,https://www2.assemblee-nationale.fr/sycomore/fiche/19044,2026-09-13
PA719032,Bertrand Bouyx,2024-07-08,,19055,https://www2.assemblee-nationale.fr/sycomore/fiche/19055,2026-09-13
PA719052,Loïc Kervran,2024-07-08,,19212,https://www2.assemblee-nationale.fr/sycomore/fiche/19212,2026-09-13
PA719080,Sandra Marsaud,2024-07-08,,19267,https://www2.assemblee-nationale.fr/sycomore/fiche/19267,2026-09-13
PA719118,François Cormier-Bouligeon,2024-07-08,,19101,https://www2.assemblee-nationale.fr/sycomore/fiche/19101,2026-09-13
PA719138,Michel Castellani,2024-07-08,,19074,https://www2.assemblee-nationale.fr/sycomore/fiche/19074,2026-09-13
PA719218,Hervé Berville,2024-07-08,2026-08-04,19039,https://www2.assemblee-nationale.fr/sycomore/fiche/19039,2026-09-13
PA719272,Frédérique Meunier,2024-07-08,,19283,https://www2.assemblee-nationale.fr/sycomore/fiche/19283,2026-09-13
PA719286,Paul-André Colombani,2024-07-08,,19097,https://www2.assemblee-nationale.fr/sycomore/fiche/19097,2026-09-13
PA719338,Graziella Melchior,2024-07-08,,19277,https://www2.assemblee-nationale.fr/sycomore/fiche/19277,2026-09-13
PA719372,Guillaume Kasbarian,2024-07-08,2024-10-21,19209,https://www2.assemblee-nationale.fr/sycomore/fiche/19209,2026-09-13
PA719372,Guillaume Kasbarian,2025-01-24,,19209,https://www2.assemblee-nationale.fr/sycomore/fiche/19209,2026-09-13
PA719388,Annaïg Le Meur,2024-07-08,,19246,https://www2.assemblee-nationale.fr/sycomore/fiche/19246,2026-09-13
