acteur_uid,prenom,nom,groupe_uid,groupe_libelle,groupe_libelle_abrev,aligned_votes,compared_votes,alignment_pct,refreshed_at
PA793716,Laurent,Croizier,PO845454,Les Démocrates,DEM,227,240,94.6,2026-05-31T18:39:03.755143+00:00
PA793322,Christelle,D'Intorni,PO872880,Union des droites pour la République,UDDPLR,359,363,98.9,2026-05-31T18:39:03.755143+00:00
PA795644,Nathalie,Da Conceicao Carvalho,PO845401,Rassemblement National,RN,658,667,98.7,2026-05-31T18:39:03.755143+00:00
PA332523,Marie-Christine,Dalloz,PO845425,Droite Républicaine,DR,199,215,92.6,2026-05-31T18:39:03.755143+00:00
PA719914,Geneviève,Darrieussecq,PO845454,Les Démocrates,DEM,350,363,96.4,2026-05-31T18:39:03.755143+00:00
PA793122,Romain,Daubié,PO845454,Les Démocrates,DEM,284,321,88.5,2026-05-31T18:39:03.755143+00:00
PA793452,Hendrik,Davi,PO845439,Écologiste et Social,ECOS,466,488,95.5,2026-05-31T18:39:03.755143+00:00
PA1008,Alain,David,PO845419,Socialistes et apparentés,SOC,153,161,95.0,2026-05-31T18:39:03.755143+00:00
PA942,Charles,de Courson,PO845485,"Libertés, Indépendants, Outre-mer et Territoires",LIOT,198,221,89.6,2026-05-31T18:39:03.755143+00:00
PA841613,Marc,de Fleurian,PO845401,Rassemblement National,RN,773,779,99.2,2026-05-31T18:39:03.755143+00:00
PA642988,Hervé,de Lépinau,PO845401,Rassemblement National,RN,350,352,99.4,2026-05-31T18:39:03.755143+00:00
PA842141,Élisabeth,de Maistre,PO845425,Droite Républicaine,DR,284,304,93.4,2026-05-31T18:39:03.755143+00:00
PA841359,Constance,de Pélichy,PO845485,"Libertés, Indépendants, Outre-mer et Territoires",LIOT,397,422,94.1,2026-05-31T18:39:03.755143+00:00
PA840119,Sandra,Delannoy,GP_NI,Non inscrit,NI,156,198,78.8,2026-05-31T18:39:03.755143+00:00
PA793394,Arthur,Delaporte,PO845419,Socialistes et apparentés,SOC,735,755,97.4,2026-05-31T18:39:03.755143+00:00
PA795430,Stéphane,Delautrette,PO845419,Socialistes et apparentés,SOC,753,765,98.4,2026-05-31T18:39:03.755143+00:00
PA841059,Catherine,Dellong Meng,,,,,,,
PA793464,Sébastien,Delogu,PO845413,La France insoumise - Nouveau Front Populaire,LFI-NFP,155,155,100.0,2026-05-31T18:39:03.755143+00:00
PA794982,Julie,Delpech,PO845407,Ensemble pour la République,EPR,318,318,100.0,2026-05-31T18:39:03.755143+00:00
PA330909,Vincent,Descoeur,PO845425,Droite Républicaine,DR,359,404,88.9,2026-05-31T18:39:03.755143+00:00
PA793166,Jocelyn,Dessigny,PO845401,Rassemblement National,RN,543,546,99.5,2026-05-31T18:39:03.755143+00:00
PA793928,Edwige,Diaz,PO845401,Rassemblement National,RN,669,694,96.4,2026-05-31T18:39:03.755143+00:00
PA841919,Dieynaba,Diop,PO845419,Socialistes et apparentés,SOC,505,519,97.3,2026-05-31T18:39:03.755143+00:00
PA842155,Aly,Diouara,PO845413,La France insoumise - Nouveau Front Populaire,LFI-NFP,244,244,100.0,2026-05-31T18:39:03.755143+00:00
PA722382,Benjamin,Dirx,PO845407,Ensemble pour la République,EPR,177,191,92.7,2026-05-31T18:39:03.755143+00:00
PA712015,Julien,Dive,PO845425,Droite Républicaine,DR,164,177,92.7,2026-05-31T18:39:03.755143+00:00
PA794762,Sandrine,Dogor-Such,PO845401,Rassemblement National,RN,682,682,100.0,2026-05-31T18:39:03.755143+00:00
PA606573,Fanny,Dombre Coste,PO845419,Socialistes et apparentés,SOC,393,402,97.8,2026-05-31T18:39:03.755143+00:00
PA793146,Nicolas,Dragon,PO845401,Rassemblement National,RN,571,575,99.3,2026-05-31T18:39:03.755143+00:00
PA720154,Nicole,Dubré-Chirat,PO845407,Ensemble pour la République,EPR,714,731,97.7,2026-05-31T18:39:03.755143+00:00
